Nominate,ServiceName,AltServiceName,Provider,Audience,InternalWeightage,Summary,Description,FunctionalGroup,Environment,Language,UsageMethod,SupportLevel,Documentation,Keywords,Status,Version,UseCases,Email,Phone,ContactDetails,AltContactMethod,AltContactLink,Prerequisites,Comments,DateAdded,LastUpdated,Reviewed,DataIssues,ReviewedBy,Controller,Classification,CMRA,IM,Data,STRA,Risk,Cybersecurity,Considerations
Yes,1GX API service,1GX integration,Service Integration,GOA,100,​Interface between 1GX and GoA business applications,"The 1GX Application Programming Interface (API) Service provides Government of Alberta (GoA) business areas with multiple interfaces between 1GX modules and their business applications. It provides them with the ability to search, create, update, and delete records in real time, directly from their business applications, without accessing 1GX directly.

This service must be requested by 1GX ministry service managers, as they are responsible for the integrations between 1GX and ministry applications. They will work with application developers, the 1GX Centre of Excellence (CoE) team, and the Service Integration team to determine which API(s) will meet business area requirements.

The 1GX CoE team approves requests for this service and collaborates with the Service Integration team to collect the requirements needed to configure API Gateway access and security roles",Automation,Openshift,,API,Hybrid,https://abgov.sharepoint.com/sites/S500D27-SI969/SitePages/1GX-API-Service.aspx,"1GX, Service",Live,,,,,Advanced request required through BERNIE: search and select the BERNIE service called '1GX API Service'.  ,BERNIE,https://bernie.gov.ab.ca/,The application is required to be in the CMDB.,Requests for this service will only be accepted by your ministry's 1GX Service Manager through a BERNIE RITM.,10/1/2023,3/26/2024,,,,"API does not store content so not applicable. The solution that uses the API will require IC (DM or delegated role, often at the program ED/Director level).",n/a,No,No,,No,No,No,
Yes,1GX Legacy IMAGIS integration,1GX integration - Legacy IMAGIS,Service Integration,GOA,100,Interface between 1GX and GoA business applications using legacy IMAGIS," 
​Interfaces between 1GX and GoA business applications using iSuite to send/receive files in legacy IMAGIS format. This integration is for legacy GoA applications, it will be phased out and replaced by direct API type of integration with 1GX. ​",Automation,Openshift,,API,Hybrid,https://goaprod.service-now.com/esm?sys_kb_id=54065bf087ef95904ea61f483cbb3571&id=kb_article&sysparm_rank=1&sysparm_tsqueryId=06b7bce733cd0e90b0bd25913d5c7bac,"1GX, IMAGIS, Service",Live,,,,,Advanced request required through BERNIE; search and select the BERNIE service called '1GX Legacy IMAGIS Integration Service'.,BERNIE,https://bernie.gov.ab.ca/ ,The application is required to be in the CMDB.,"This integration is for legacy GoA applications, it will be phased out and replaced by direct API type of integration with 1GX. ​",10/1/2023,3/26/2024,,,,"Interface does not store content so not applicable. The overall solution will require IC (DM or delegated role, often at the program ED/Director level).",n/a,No,No,,No,No,Required,
,Access service,Authentication with Keycloak,Alberta Digital Service Platform (ADSP),,10,Deployment of Keycloak for user authentication and authorization.,"The Access Service is a deployment of Keycloak, which provides Realms to tenants and serves as the basis for user access management.  As a federated IDP, Keycloak provides user authentication and authorization services, helping you to your tenant secure.  On top of Keycloak, the Access Service provides the user roles necessary to use all other ADSP services.",User management,,,Service,Hybrid,https://access.alberta.ca/,Keycloak,Live,,,adsp@gov.ab.ca ,,,Slack,https://goa-dio.slack.com/channels/adsp-connection,Product teams can get started by accessing an existing tenant or creating a new tenant. Each tenant represents a zone of administrative control and generally products within a common service area can share a tenant.,,10/1/2023,10/1/2023,,,,,,No,No,,No,No,No,
Yes,Address validation service,Address validation,Service Integration,GOA,100,Find an address and autopopulate address details using incremental Canada Post searches.,"Allows ease of mailing address data entry and validation through 2 endpoints that allow incremental searches to find the correct address and provide the full address details of the selected result.  This service leverages ""Canada Post - Address Complete"" for it's validation repository.",Data,,,Service,Hybrid,https://abgov.sharepoint.com/sites/S500D27-SI969/SitePages/Address-Validation-Service.aspx,,Live,,,,,Users are to contact the Service Integration Team via BERNIE to request this service.,BERNIE,Service Integration Consultation https://goaprod.service-now.com/esm?id=search&spa=1&q=Service%20Integration%20Consultation,,,10/1/2023,3/26/2024,,,,"Brad Wile(Director, Information Technology,  Legal Aid Alberta)",Public,No,No,,Completed,No,No,
,Alberta holidays,Alberta stat holidays,"Seniors, Community and Social Services (SCSS)",,10,DayJS plugin with information about stat holidays in Alberta.,A DayJS plugin for the information about statutory holidays in Alberta,Data,,TypeScript (dayjs),Code,,Instructions and additional information https://github.com/GovAlta-EMU/ab-holiday,,,,,wei.w.wei@gov.ab.ca,,Privately hosted npm package,GitHub,https://github.com/GovAlta-EMU/ab-holiday,,,10/1/2023,10/1/2023,,,,,,No,No,,No,No,No,
,Alberta vital statistics API,Alberta vital statistics,Platforms - Common Data Services,,10,Verify new borns and deceased individuals using Alberta Vital Statistics.,"Verify new borns and deceased individuals against the data in Alberta Vital Statistics for a specific Government of Alberta program. This program requires approval from Vital Statistics for data usage, as well as  a privacy assessment. ",Data,On Prem,.NET Core,API,TBD,,,Alpha,,,TI.CDS@gov.ab.ca,,,,,,,10/1/2023,10/1/2023,,,,"Director, Business & Vital Event Registries, Service Alberta",,No,No,,No,No,No,
YES,Alberta.ca Account,Alberta.ca account,Platforms - IAM,,100,IAM platform for federated sign on and identity verification for citizens accessing online services.,,User management,Azure,ForgeRock,,24x7,https://myalberta.gov.ab.ca/en/myalberta-digital-id,IAM,Live,,,GOA.IAM@gov.ab .ca,,Onboarding and integrations are handled via scheduled consultations. Can reach out to Robert Salloum or Syed Hashmi for further details,Web,https://account.alberta.ca,,,10/1/2023,10/1/2023,,,,"Executive Director, Platforms, DDD",,No,No,,No,No,No,
Yes,API gateway as a service,Performance metrics for APIs,Service Integration,GOA,10,"Monitoring and performance metrics for APIs with firewall, router, and DDOS protection.","Provides protection, monitoring and performance metrics for APIs.  The gateway can act as a firewall, router & DDOS protection for APIs and supports advanced features like ""custom claims"".  The gateway service is available for both internal/external and on-prem/cloud APIs.  This service leverages the Digital Identiity Gateway for API authentication.",Performance,,,API,Hybrid,https://abgov.sharepoint.com/sites/S500D27-SI969/SitePages/API-Gateway-As-A-Service.aspx,,Live,,,,,Users are to contact the Service Integration Team via BERNIE to request this service.,BERNIE,Service Integration Consultation https://goaprod.service-now.com/esm?id=search&spa=1&q=Service%20Integration%20Consultation,,,10/1/2023,3/26/2024,,,,"Executive Director, Platforms, DDD",,No,No,,No,No,No,
,Automation framework architecture,QA automation framework,Justice Digital,,-20,Guide for developers and QA testers to get started with QA automation within the application.,"This is QA automation process outlined for service teams. Developers and QA testers should be able to use this as a guide to get started with QA automation within your application.

This documentation will go over all of the QA automation test frameworks in detail, outline the technology stacks used in this process",Was removed,"AWS, GitHub, Cypress, Allure",n/a,Resource,,https://goa-dio.atlassian.net/wiki/spaces/JD/pages/2195423612/QA+Automation,Development,Live,,,JSG.PlatformSupport@gov.ab.ca ,,,,,,,10/1/2023,10/1/2023,,,,,,No,No,,n/a,n/a,n/a,
,Banking  information verification API,Banking validation,Platforms - Common Data Services,,10,"Validate financial institution number, branch number, and banking account number format.","Allow applications to validate the financial institution number, branch number, as well as the format of the banking account number. ",Finance,On Prem,.NET Core,API,TBD,,,Alpha,,,TI.CDS@gov.ab.ca,,,,,,,10/1/2023,10/1/2023,,,,"Executive Director, Platforms, DDD",,No,No,,No,No,No,
